# RTL_ID 22011200
#
# Events:
#    N - no event
#    E - exception
#    I - interrupt
#    W - wakeup
# =====================================================================================
# : Core Reset
# =====================================================================================
# Test: xor.hex
#           Time   Ev  Curr_PC    Instr      Next_PC    Reg        Value     
# =====================================================================================
             422   N   0000a340   f0f10113   0000a344   x02_sp     0f0f1000
             423   N   0000a344   00ff00b7   0000a348   x02_sp     0f0f0f0f
             424   N   0000a348   0ff08093   0000a34c   x01_ra     00ff0000
             425   N   0000a34c   00000001   0000a350   x01_ra     00ff00ff
             426   N   0000a350   00000001   0000a352   ---        --------
             427   N   0000a352   0020c1b3   0000a354   ---        --------
             428   N   0000a354   00000205   0000a358   x03_gp     0ff00ff0
             429   N   0000a358   00004289   0000a35a   x04_tp     00000001
             430   N   0000a35a   fe5212e3   0000a35c   x05_t0     00000002
             431   N   0000a35c   0ff01eb7   0000a340   ---        --------
             434   N   0000a340   f0f10113   0000a344   x02_sp     0f0f1000
             435   N   0000a344   00ff00b7   0000a348   x02_sp     0f0f0f0f
             436   N   0000a348   0ff08093   0000a34c   x01_ra     00ff0000
             437   N   0000a34c   00000001   0000a350   x01_ra     00ff00ff
             438   N   0000a350   00000001   0000a352   ---        --------
             439   N   0000a352   0020c1b3   0000a354   ---        --------
             440   N   0000a354   00000205   0000a358   x03_gp     0ff00ff0
             441   N   0000a358   00004289   0000a35a   x04_tp     00000002
             442   N   0000a35a   fe5212e3   0000a35c   x05_t0     00000002
             443   N   0000a35c   0ff01eb7   0000a360   ---        --------
             444   N   0000a360   00001ec1   0000a364   x29_t4     0ff01000
             445   N   0000a364   00004e51   0000a366   x29_t4     0ff00ff0
             446   N   0000a366   0fd19563   0000a368   x28_t3     00000014
             447   N   0000a368   00004201   0000a36c   ---        --------
             448   N   0000a36c   0f0f1137   0000a36e   x04_tp     00000000
             449   N   0000a36e   42010113   0000a372   x02_sp     0f0f1000
             451   N   0000a372   00000001   0000a376   x02_sp     0f0f0f0f
             452   N   0000a376   ff0100b7   0000a378   ---        --------
             453   N   0000a378   f0008093   0000a37c   x01_ra     ff010000
             454   N   0000a37c   0020c1b3   0000a380   x01_ra     ff00ff00
             455   N   0000a380   00000205   0000a384   x03_gp     f00ff00f
             456   N   0000a384   00004289   0000a386   x04_tp     00000001
             457   N   0000a386   fe5213e3   0000a388   x05_t0     00000002
             458   N   0000a388   f00ffeb7   0000a36e   ---        --------
             462   N   0000a36e   f00f0113   0000a372   x02_sp     0f0f1000
             464   N   0000a372   00000001   0000a376   x02_sp     0f0f0f0f
             465   N   0000a376   ff0100b7   0000a378   ---        --------
             466   N   0000a378   f0008093   0000a37c   x01_ra     ff010000
             467   N   0000a37c   0020c1b3   0000a380   x01_ra     ff00ff00
             468   N   0000a380   00000205   0000a384   x03_gp     f00ff00f
             469   N   0000a384   00004289   0000a386   x04_tp     00000002
             470   N   0000a386   fe5213e3   0000a388   x05_t0     00000002
             471   N   0000a388   f00ffeb7   0000a38c   ---        --------
             472   N   0000a38c   00000ebd   0000a390   x29_t4     f00ff000
             473   N   0000a390   00004e55   0000a392   x29_t4     f00ff00f
             474   N   0000a392   0bd19f63   0000a394   x28_t3     00000015
             475   N   0000a394   00004201   0000a398   ---        --------
             476   N   0000a398   f0f0f137   0000a39a   x04_tp     00000000
             477   N   0000a39a   0000616d   0000a39e   x02_sp     f0f0f000
             478   N   0000a39e   00000001   0000a3a0   x02_sp     f0f0f0f0
             479   N   0000a3a0   0ff010b7   0000a3a2   ---        --------
             480   N   0000a3a2   000010c1   0000a3a6   x01_ra     0ff01000
             481   N   0000a3a6   00000001   0000a3a8   x01_ra     0ff00ff0
             482   N   0000a3a8   0020c1b3   0000a3aa   ---        --------
             483   N   0000a3aa   00000205   0000a3ae   x03_gp     ff00ff00
             484   N   0000a3ae   00004289   0000a3b0   x04_tp     00000001
             485   N   0000a3b0   fe5214e3   0000a3b2   x05_t0     00000002
             486   N   0000a3b2   42890eb7   0000a39a   ---        --------
             490   N   0000a39a   0000616d   0000a39e   x02_sp     f0f0f000
             491   N   0000a39e   00000001   0000a3a0   x02_sp     f0f0f0f0
